customer_id,first_name,last_name,email,signup_date
1,Ana,Torres,ana.torres@example.com,2025-01-05
2,Bruno,Silva,bruno.silva@example.com,2025-01-12
3,Carla,Mendez,carla.mendez@example.com,2025-01-20
4,Diego,Reyes,diego.reyes@example.com,2025-02-02
5,Elena,Vargas,elena.vargas@example.com,2025-02-14
6,Felipe,Cruz,felipe.cruz@example.com,2025-02-28
7,Gabriela,Ortiz,gabriela.ortiz@example.com,2025-03-03
8,Hugo,Paredes,hugo.paredes@example.com,2025-03-15
9,Ivonne,Rojas,ivonne.rojas@example.com,2025-03-22
10,Jorge,Delgado,jorge.delgado@example.com,2025-04-01
